Titulo,Autores,Categoria,Calificacion,Precio,"In Stock",Link
"A Light in the Attic","Marie Gibson",Poetry,3,Â£51.77,"In stock",https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
"Tipping the Velvet","Sarah Waters","Historical Fiction",1,Â£53.74,"In stock",https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Soumission,"Michel Houellebecq",Fiction,1,Â£50.10,"In stock",https://books.toscrape.com/catalogue/soumission_998/index.html
"Sharp Objects","Gillian Flynn",Mystery,4,Â£47.82,"In stock",https://books.toscrape.com/catalogue/sharp-objects_997/index.html
"Sapiens: A Brief History of Humankind","Yuval Noah Harari",History,5,Â£54.23,"In stock",https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
"The Requiem Red","Brian L. Porter","Young Adult",1,Â£22.65,"In stock",https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
"The Dirty Little Secrets of Getting Your Dream Job","Don Raskin",Business,4,Â£33.34,"In stock",https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","Karen J. Hicks",Default,3,Â£17.93,"In stock",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","Worth Books",Default,4,Â£22.60,"In stock",https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
"The Black Maria","Aracelis Girmay",Poetry,1,Â£52.15,"In stock",https://books.toscrape.com/catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)","Janine Mendenhall",Default,2,Â£13.99,"In stock",https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
"Shakespeare's Sonnets","William Shakespeare",Poetry,4,Â£20.66,"In stock",https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
"Set Me Free","Marilyn Peake","Young Adult",5,Â£17.46,"In stock",https://books.toscrape.com/catalogue/set-me-free_988/index.html
"Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)","Bryan Lee O’Malley","Sequential Art",5,Â£52.29,"In stock",https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
"Rip it Up and Start Again","Simon Reynolds",Music,5,Â£35.02,"In stock",https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","Michael Azerrad",Music,3,Â£57.25,"In stock",https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,"E. F. Burton",Poetry,1,Â£23.88,"In stock",https://books.toscrape.com/catalogue/olio_984/index.html
